split,song,source_song,source_kind,source_file,bar_number,image_path,label_path,source_label_path,reasons
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,88,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar088.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar088.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar088.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,89,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar089.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar089.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar089.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,92,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar092.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar092.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar092.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,93,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar093.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar093.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar093.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,96,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar096.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar096.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar096.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,97,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar097.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar097.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar097.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,100,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar100.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar100.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar100.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,101,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar101.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar101.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar101.json,duplicate_onset;unsupported_duration
train,21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm,21 Guns Drum Tab Green Day May 27 2026,gp7,ml/data/songsterr/guitar_pro/21 Guns Drum Tab Green Day May 27 2026.gp,104,ml/data/dataset/images/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar104.png,ml/data/dataset/labels/21 Guns Drum Tab by Green Day _ Songsterr Tabs with Rhythm_bar104.json,ml/data/labels/21 Guns Drum Tab Green Day May 27 2026_bar104.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,5,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar005.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar005.json,ml/data/labels/Rush 2112 Drum Tab_bar005.json,measure_beyond_grid
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,9,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar009.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar009.json,ml/data/labels/Rush 2112 Drum Tab_bar009.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,10,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar010.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar010.json,ml/data/labels/Rush 2112 Drum Tab_bar010.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,11,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar011.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar011.json,ml/data/labels/Rush 2112 Drum Tab_bar011.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,12,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar012.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar012.json,ml/data/labels/Rush 2112 Drum Tab_bar012.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,13,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar013.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar013.json,ml/data/labels/Rush 2112 Drum Tab_bar013.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,14,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar014.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar014.json,ml/data/labels/Rush 2112 Drum Tab_bar014.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,15,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar015.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar015.json,ml/data/labels/Rush 2112 Drum Tab_bar015.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,16,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar016.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar016.json,ml/data/labels/Rush 2112 Drum Tab_bar016.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,17,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar017.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar017.json,ml/data/labels/Rush 2112 Drum Tab_bar017.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,18,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar018.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar018.json,ml/data/labels/Rush 2112 Drum Tab_bar018.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,19,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar019.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar019.json,ml/data/labels/Rush 2112 Drum Tab_bar019.json,duplicate_onset;unsupported_drum;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,20,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar020.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar020.json,ml/data/labels/Rush 2112 Drum Tab_bar020.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,23,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar023.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar023.json,ml/data/labels/Rush 2112 Drum Tab_bar023.json,duplicate_onset;unsupported_drum;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,24,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar024.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar024.json,ml/data/labels/Rush 2112 Drum Tab_bar024.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,46,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar046.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar046.json,ml/data/labels/Rush 2112 Drum Tab_bar046.json,beat_outside_grid;duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,53,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar053.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar053.json,ml/data/labels/Rush 2112 Drum Tab_bar053.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,54,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar054.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar054.json,ml/data/labels/Rush 2112 Drum Tab_bar054.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,58,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar058.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar058.json,ml/data/labels/Rush 2112 Drum Tab_bar058.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,64,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar064.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar064.json,ml/data/labels/Rush 2112 Drum Tab_bar064.json,unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,65,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar065.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar065.json,ml/data/labels/Rush 2112 Drum Tab_bar065.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,66,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar066.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar066.json,ml/data/labels/Rush 2112 Drum Tab_bar066.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,68,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar068.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar068.json,ml/data/labels/Rush 2112 Drum Tab_bar068.json,unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,69,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar069.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar069.json,ml/data/labels/Rush 2112 Drum Tab_bar069.json,duplicate_onset;unsupported_drum;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,70,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar070.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar070.json,ml/data/labels/Rush 2112 Drum Tab_bar070.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,72,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar072.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar072.json,ml/data/labels/Rush 2112 Drum Tab_bar072.json,unsupported_drum
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,73,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar073.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar073.json,ml/data/labels/Rush 2112 Drum Tab_bar073.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,74,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar074.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar074.json,ml/data/labels/Rush 2112 Drum Tab_bar074.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,76,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar076.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar076.json,ml/data/labels/Rush 2112 Drum Tab_bar076.json,unsupported_drum
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,80,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar080.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar080.json,ml/data/labels/Rush 2112 Drum Tab_bar080.json,unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,84,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar084.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar084.json,ml/data/labels/Rush 2112 Drum Tab_bar084.json,unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,88,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar088.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar088.json,ml/data/labels/Rush 2112 Drum Tab_bar088.json,unsupported_drum;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,92,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar092.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar092.json,ml/data/labels/Rush 2112 Drum Tab_bar092.json,unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,119,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar119.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar119.json,ml/data/labels/Rush 2112 Drum Tab_bar119.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,120,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar120.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar120.json,ml/data/labels/Rush 2112 Drum Tab_bar120.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,143,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar143.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar143.json,ml/data/labels/Rush 2112 Drum Tab_bar143.json,unsupported_drum
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,173,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar173.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar173.json,ml/data/labels/Rush 2112 Drum Tab_bar173.json,unsupported_drum
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,189,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar189.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar189.json,ml/data/labels/Rush 2112 Drum Tab_bar189.json,duplicate_onset;unsupported_duration
test,2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush 2112 Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush 2112 Drum Tab.gp,207,ml/data/dataset/images/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar207.png,ml/data/dataset/labels/2112 Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar207.json,ml/data/labels/Rush 2112 Drum Tab_bar207.json,measure_beyond_grid
