split,song,source_song,source_kind,source_file,bar_number,image_path,label_path,source_label_path
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,11,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar011.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar011.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar011.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,12,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar012.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar012.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar012.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,13,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar013.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar013.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar013.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,14,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar014.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar014.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar014.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,15,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar015.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar015.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar015.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,16,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar016.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar016.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar016.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,17,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar017.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar017.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar017.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,18,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar018.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar018.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar018.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,19,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar019.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar019.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar019.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,20,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar020.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar020.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar020.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,21,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar021.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar021.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar021.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,22,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar022.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar022.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar022.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,23,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar023.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar023.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar023.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,24,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar024.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar024.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar024.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,25,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar025.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar025.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar025.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,26,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar026.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar026.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar026.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,27,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar027.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar027.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar027.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,28,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar028.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar028.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar028.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,29,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar029.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar029.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar029.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,30,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar030.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar030.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar030.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,31,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar031.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar031.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar031.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,32,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar032.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar032.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar032.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,33,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar033.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar033.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar033.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,34,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar034.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar034.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar034.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,35,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar035.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar035.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar035.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,36,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar036.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar036.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar036.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,37,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar037.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar037.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar037.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,38,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar038.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar038.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar038.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,39,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar039.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar039.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar039.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,40,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar040.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar040.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar040.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,41,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar041.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar041.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar041.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,42,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar042.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar042.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar042.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,43,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar043.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar043.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar043.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,44,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar044.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar044.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar044.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,45,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar045.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar045.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar045.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,46,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar046.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar046.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar046.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,47,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar047.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar047.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar047.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,48,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar048.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar048.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar048.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,49,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar049.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar049.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar049.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,50,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar050.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar050.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar050.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,51,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar051.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar051.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar051.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,52,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar052.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar052.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar052.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,53,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar053.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar053.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar053.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,54,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar054.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar054.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar054.json
train,A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm,Rush A Passage To Bangkok Drum Tab,gp7,ml/data/songsterr/guitar_pro/Rush A Passage To Bangkok Drum Tab.gp,55,ml/data/dataset/images/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar055.png,ml/data/dataset/labels/A Passage To Bangkok Drum Tab by Rush _ Songsterr Tabs with Rhythm_bar055.json,ml/data/labels/Rush A Passage To Bangkok Drum Tab_bar055.json
